feature,psi,status
year,7.031721422572183,material
rating_uncertainty,0.11446714859433454,watch
importance,0.06184116902112433,stable
rest_diff,0.048975832790047705,stable
rating_confidence_diff,0.048079206411129456,stable
experience_diff,0.026560977372337174,stable
major_form_diff,0.026542127519618715,stable
activity_diff,0.023822501529280768,stable
elo_mean,0.018660852801293582,stable
sos_diff,0.015157580080579651,stable
prestige_diff,0.014690431868000564,stable
goals_for_diff,0.014548053294796266,stable
h2h_form,0.014477765129363267,stable
h2h_goal_balance,0.01334933119212795,stable
h2h_experience,0.012684943638142638,stable
elo_diff,0.0126291509529237,stable
win_rate_diff,0.009132294480876036,stable
scoring_rate_diff,0.008457433854927027,stable
volatility_diff,0.008037152582192923,stable
defence_trend_diff,0.007934598258606778,stable
goal_balance_diff,0.007758762554165786,stable
attack_trend_diff,0.007637839427178579,stable
form_diff,0.0065452349496214765,stable
goals_against_diff,0.005352001552587889,stable
clean_sheet_diff,0.0037002334538215297,stable
consistency_diff,0.0035256740689503206,stable
momentum_diff,0.0025089325959298642,stable
