team,group,round_32,quarterfinal,semifinal,final,champion,elo
Argentina,J,0.9992,0.6634,0.4922,0.3596,0.2532,2146.555738123903
Spain,H,0.937,0.5086,0.3934,0.2278,0.143,2123.5138677885684
Brazil,C,1.0,0.5012,0.3576,0.2122,0.112,2044.381409708136
France,I,0.998,0.5638,0.3184,0.197,0.0974,2086.592092952265
England,L,0.9978,0.5454,0.3202,0.195,0.0932,2052.0430166121873
Colombia,K,0.9896,0.5374,0.2792,0.153,0.075,2028.9124624676876
Germany,E,0.9984,0.4274,0.2124,0.099,0.0406,1980.6490297792316
Portugal,K,0.8476,0.3116,0.1526,0.0614,0.026,1997.2805476723731
Belgium,G,0.8776,0.336,0.1284,0.0492,0.0202,1944.9777432550636
Mexico,A,1.0,0.2618,0.125,0.0598,0.02,1936.8722405064689
Morocco,C,1.0,0.2402,0.1298,0.0518,0.0188,1956.8422835012293
Netherlands,F,0.904,0.2114,0.1144,0.0468,0.018,1978.5824229907216
Ecuador,E,0.9362,0.2342,0.094,0.0356,0.0122,1942.9053184952606
Uruguay,H,0.7922,0.1684,0.0824,0.0256,0.0108,1933.31476911728
Switzerland,B,1.0,0.256,0.0984,0.0324,0.009,1913.9364511741096
United States,D,1.0,0.3162,0.095,0.0216,0.0088,1864.8068153231975
Japan,F,0.9092,0.165,0.0892,0.03,0.0084,1957.5851387768723
Norway,I,0.9778,0.198,0.0714,0.0278,0.0076,1913.3284421799597
Canada,B,1.0,0.1716,0.0574,0.0172,0.0048,1861.6642034100253
Austria,J,0.9316,0.135,0.053,0.0146,0.0042,1881.2291127573224
Paraguay,D,0.7214,0.1328,0.0418,0.0132,0.003,1852.8828156865582
Australia,D,0.881,0.136,0.0328,0.0108,0.0028,1870.2622274352009
South Korea,A,0.9242,0.1712,0.046,0.0132,0.0026,1866.671502528502
Croatia,L,0.7186,0.0918,0.0336,0.006,0.0016,1918.9443267579388
Ivory Coast,E,0.975,0.131,0.0328,0.0076,0.0016,1813.6171853128315
Senegal,I,0.5896,0.069,0.019,0.005,0.001,1869.0845789099124
Iran,G,0.593,0.0858,0.0218,0.0032,0.001,1874.5358448907411
Algeria,J,0.5612,0.0798,0.0308,0.0066,0.001,1850.8267150475742
Scotland,C,0.8024,0.0732,0.0206,0.0064,0.001,1801.4446502953288
Sweden,F,0.9484,0.0574,0.0138,0.0022,0.0004,1780.2956277881508
Uzbekistan,K,0.263,0.013,0.0046,0.0006,0.0002,1781.968006628591
South Africa,A,0.1992,0.0058,0.001,0.0002,0.0002,1655.7568372449305
DR Congo,K,0.5024,0.028,0.0048,0.0012,0.0002,1733.2636692529113
Egypt,G,0.6894,0.0712,0.0162,0.0036,0.0002,1787.4229140965601
Turkey,D,0.0868,0.0104,0.0022,0.001,0.0,1860.6136446296607
Qatar,B,0.2772,0.002,0.0,0.0,0.0,1589.6051589043188
Czech Republic,A,0.0808,0.0048,0.0008,0.0002,0.0,1765.2073631401004
Haiti,C,0.0034,0.0002,0.0,0.0,0.0,1675.218207936993
Bosnia and Herzegovina,B,0.4688,0.0114,0.0014,0.0004,0.0,1632.8280032742368
Curaçao,E,0.0118,0.0,0.0,0.0,0.0,1576.2777052291822
Cape Verde,H,0.4034,0.0056,0.001,0.0002,0.0,1647.901008591216
Saudi Arabia,H,0.5392,0.0162,0.0032,0.0004,0.0,1696.4293396420833
New Zealand,G,0.4492,0.0188,0.0028,0.0004,0.0,1721.9576820061748
Tunisia,F,0.108,0.0014,0.0,0.0,0.0,1710.3043367735736
Jordan,J,0.1526,0.0062,0.0018,0.0,0.0,1721.9494791115037
Iraq,I,0.085,0.001,0.0,0.0,0.0,1703.4946727538204
Panama,L,0.2474,0.0076,0.001,0.0002,0.0,1785.1545171882112
Ghana,L,0.6214,0.0158,0.0018,0.0,0.0,1641.205200488591
